nom_site,adresse,cp,idpw,nombre_de_borne_wifi,etat,latitude,longitude
BIBLIOTHEQUE BENOITE GROULT,25 RUE DU COMMANDANT RENE MOUCHOTTE,75014,PW0218,1,Opérationnel,48.83828030726402,2.319875105283682
SQUARE CLAUDE NICOLAS LEDOUX,2 PLACE DENFERT ROCHEREAU,75014,PW0199,2,Opérationnel,48.834231880510345,2.3321285183323224
SQUARE DU CHANOINE VIOLLET,72 RUE DU MOULIN VERT,75014,PW0185,1,Opérationnel,48.83129620230284,2.3200964902595502
BIBLIOTHEQUE AIME CESAIRE,5 RUE DE RIDDER,75014,PW0053,3,Opérationnel,48.83123124818045,2.311662332111939
BIBLIOTHEQUE BRASSENS,38 RUE GASSENDI,75014,PW0054,2,Opérationnel,48.833766609696085,2.325855977890741
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE  14,22 RUE DEPARCIEUX,75014,PW0040,2,Opérationnel,48.8355916799591,2.325821393195147
CENTRE SPORTIF CHARLES RIGOULOT,18 AVENUE DE LA PORTE BRANCION,75015,PW0075,1,Opérationnel,48.82663359274809,2.3004174655087017
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE 15,22 RUE DE LA SAIDA,75015,PW0031,5,Opérationnel,48.83183217258377,2.2957560957627234
CENTRE SPORTIF SUZANNE LENGLEN - ENTREE,2 RUE LOUIS ARMAND,75015,PW0173-1,1,Opérationnel,48.833070643227764,2.2765763571063142
CENTRE SPORTIF PLAINE,13 RUE DU GENERAL GUILLAUMAT,75015,PW0088,1,Opérationnel,48.82803317409269,2.293327610769408
MAIRIE DU 15 EME,31 RUE DE PECLET,75015,PW0014,8,Opérationnel,48.841515749400145,2.2998843875842367
MUSEE BOURDELLE,18 RUE ANTOINE BOURDELLE,75015,PW0241,14,Opérationnel,48.843088368029136,2.318579339445639
BIBLIOTHEQUE GUTENBERG,8 RUE DE LA MONTAGNE D AULAS,75015,PW0145,1,Opérationnel,48.84020760641955,2.2787064242142545
BIBLIOTHEQUE VAUGIRARD,154 RUE LECOURBE,75015,PW0137,2,Opérationnel,48.84170750668818,2.2993503219976077
BIBLIOTHEQUE MARGUERITE YOURCENAR,41 RUE D ALLERAY,75015,PW0046,7,Opérationnel,48.83680692102482,2.3034808021788145
MAISON COMMUNALE,69 RUE VILOLET,75015,PW0240,1,Opérationnel,48.84557161745619,2.2915124728297736
BIBLIOTHEQUE ANDRÉE CHEDID,36-40 RUE EMERIAU,75015,PW0117,3,Opérationnel,48.84974131047438,2.286136743745502
CENTRE SPORTIF SUZANNE LENGLEN - STADE DE RUDBY,2  RUE LOUIS ARMAND,75015,PW0173-2,1,Opérationnel,48.832881073674926,2.276606159443164
PREFOURRIERE BALARD,1 RUE EMILE HEMINGWAY,75015,PW0228,1,Opérationnel,48.83759553433299,2.2751760071556393
CENTRE SPORTIF SUZANNE LENGLEN - TRIBUNE COUR DE TENNIS,2 RUE LOUIS ARMAND,75015,PW0173,1,Opérationnel,48.832964670678884,2.276832789549165
ESPACE PARISIEN POUR L INSERTION 7 15 16,14 RUE MOISANT,75015,PW0162,1,Opérationnel,48.842310116893366,2.3172057615962056
MUSEE GALLIERA,10 AVENUE PIERRE 1ER DE SERBIE,75016,PW0229,20,Opérationnel,48.865911786560694,2.296493860761189
PREFOURRIERE FOCH,8 AVENUE FOCH,75016,PW0230,1,Opérationnel,48.87381249537699,2.291739344849887
CENTRE SPORTIF HENRY DE MONTHERLAND,30-32 BOULEVARD LANNES,75016,PW0101,1,Opérationnel,48.86752280679386,2.2721208538069106
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE 16,14-16 AVENUE RENE BOYLESVE,75016,PW0041,2,Opérationnel,48.8567504744646,2.283836733756716
STADE JEAN BOUIN,26 AVENUE DU GENERAL SARRAIL,75016,PW0107,5,Opérationnel,48.84392391670775,2.2550948881911776
JARDIN DU TROCADERO,1 PLACE DU ONZE NOVEMBRE 1918,75016,PW0175,1,Opérationnel,48.860937214689706,2.2893499443659575
BIBLIOTHEQUE GERMAINE TILLION,6 RUE DU COMMANDANT SCHLOESING,75016,PW0113,3,Opérationnel,48.86183638257241,2.284270791218422
MUSEE BALZAC,47 RUE RAYNOUARD,75016,PW0202,10,Opérationnel,48.85539359756073,2.280717716603592
MAIRIE DU 16 EME,71 AVENUE HENRI-MARTIN,75016,PW0015,1,Opérationnel,48.86394077019891,2.2766525218985634
STADE PIERRE DE COUBERTIN,82 AVENUE GEORGES LAFONT,75016,PW0108,4,Opérationnel,48.83549894578003,2.2557606933469425
BIBLIOTHEQUE MUSSET,20 RUE MUSSET,75016,PW0140,1,Opérationnel,48.84208223736807,2.263539698646935
PISCINE AUTEUIL,1 ROUTE DES LACS A PASSY,75016,PW0102,1,Opérationnel,48.85815259404038,2.2615674823094567
MUSEE D ART MODERNE,11 AVENUE DU PRESIDENT WILSON,75016,PW0211,11,Opérationnel,48.864710182344766,2.296997336665014
BIBLIOTHEQUE BATIGNOLLES,18 RUE DES BATIGNOLLES,75017,PW0133,1,Opérationnel,48.88475451404929,2.3221209454424474
PISCINE BERNARD LAFAY,79 RUE DE LA JONQUIERE,75017,PW0100,1,Opérationnel,48.89464799028461,2.3188172423325684
BIBLIOTHEQUE EDMOND ROSTAND,11 RUE NICOLAS CHUQUET,75017,PW0104,3,Opérationnel,48.888394359208995,2.303089705679942
CENTRE SPORTIF LEON BIANCOTTO,6 AVENUE DE LA PORTE DE CLICHY,75017,PW0098,1,Opérationnel,48.89576823451991,2.311830475367835
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE  17,25 RUE LANTIEZ,75017,PW0042,1,Opérationnel,48.89503066621167,2.323751423106822
MAIRIE DU 17 EME,16/20 RUE DES BATIGNOLLES,75017,PW0016,2,Opérationnel,48.88449376861103,2.321834360309548
BIBLIOTHEQUE COLETTE VIVIER,6 RUE FOURNEYRON,75017,PW0003,1,Opérationnel,48.88978333501901,2.319643373437661
SQUARE ANDRE ULMANN,17 BOULEVARD DE REIMS,75017,PW0166,1,Opérationnel,48.88990039760424,2.298941389477171
CENTRE SPORTIF ZAC PAJOL,22T RUE PAJOL,75018,PW0092,1,Opérationnel,48.889594797247035,2.3630676012052962
MAIRIE DU 18 EME,1 PLACE JULES JOFFRIN,75018,PW0023,1,Opérationnel,48.89230355785121,2.3446872129632013
ESPACE GLISSE DES FILLETTES,54 BOULEVARD NEY,75018,PW0093,1,Opérationnel,48.89875981393056,2.3635069351099576
